IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
172.64.145.240,155,284,205,10
172.64.38.81,139,288,207,10
172.64.90.7,172,274,207,10
104.16.49.19,136,293,208,10
172.64.151.188,145,286,208,10
172.64.149.238,158,290,211,10
104.27.15.180,192,243,211,10
104.16.13.252,153,299,212,10
104.23.125.135,190,246,212,10
104.24.5.163,190,232,212,10
198.41.193.141,156,291,214,10
162.159.5.24,165,292,216,10
162.159.209.72,205,242,217,10
104.24.1.246,189,239,217,10
104.27.24.212,192,251,218,10
104.23.141.96,194,243,221,10
104.16.20.251,156,299,221,10
104.24.13.213,189,246,223,10
104.27.4.218,197,241,223,10
162.159.134.39,199,238,224,10
172.64.42.23,160,261,224,10
104.16.30.53,159,269,224,10
104.23.108.82,202,243,225,10
104.27.13.64,198,237,226,10
104.23.138.119,198,242,226,10
104.27.40.98,201,248,228,10
162.159.160.209,190,248,228,10
104.24.15.121,201,243,230,10
162.159.128.41,197,242,230,10
198.217.251.232,158,298,234,10
172.64.81.180,156,288,237,10
108.162.195.197,165,281,240,10
173.245.58.17,154,298,241,10
172.64.92.53,134,248,161,20
190.93.245.24,142,260,165,20
172.64.152.48,141,274,170,20
173.245.49.185,152,186,170,20
104.16.85.50,134,268,171,20
198.41.201.174,155,214,174,20
172.64.156.191,155,225,175,20
104.16.29.200,153,204,177,20
172.64.150.125,133,216,177,20
162.159.41.136,160,224,180,20
104.24.35.48,156,203,181,20
104.27.28.57,161,212,182,20
104.16.3.232,143,278,183,20
104.27.47.159,165,207,183,20
104.16.11.158,152,240,184,20
1.0.0.59,154,247,185,20
172.64.157.91,147,250,185,20
162.159.36.204,138,285,187,20
104.27.20.75,162,204,188,20
172.64.93.35,137,289,189,20
104.23.105.80,160,215,190,20
141.101.90.106,136,294,190,20
104.16.68.113,140,284,190,20
104.16.70.40,135,279,191,20
162.159.17.238,153,292,196,20
162.159.43.141,168,215,197,20
162.159.23.161,135,293,197,20
198.41.215.177,134,280,198,20
104.16.21.33,154,244,199,20
104.23.117.113,181,221,204,20
172.64.82.77,148,299,206,20
104.16.19.20,155,299,206,20
172.64.155.245,166,280,208,20
162.159.24.163,154,273,209,20
104.16.4.71,159,264,211,20
104.23.142.240,192,241,211,20
104.16.88.32,141,279,212,20
104.23.120.91,197,242,216,20
104.27.21.156,194,235,218,20
198.41.197.72,158,287,218,20
104.23.104.192,192,241,218,20
141.101.114.246,138,298,223,20
104.23.112.146,200,247,225,20
104.23.114.144,193,251,225,20
104.27.38.65,202,244,230,20
104.23.139.53,192,247,231,20
162.159.0.134,151,176,160,30
104.16.32.60,157,275,187,30
104.16.24.235,153,290,207,30
198.41.194.201,135,288,208,30
104.27.3.239,192,231,214,30
162.159.22.9,160,207,177,40
162.159.59.97,158,265,205,40
172.64.86.35,152,287,217,40
172.64.88.133,157,287,221,40
190.93.246.21,150,260,195,50
